date,variable,value
1967-07-01,pce,506.7
1967-08-01,pce,509.8
1967-09-01,pce,515.6
1967-10-01,pce,512.2
1967-11-01,pce,517.4
1967-12-01,pce,525.1
1968-01-01,pce,530.9
1968-02-01,pce,533.6
1968-03-01,pce,544.3
1968-04-01,pce,544
1968-05-01,pce,549.8
1968-06-01,pce,556.3
1968-07-01,pce,563.2
1968-08-01,pce,567
1968-09-01,pce,568.2
1968-10-01,pce,571.6
1968-11-01,pce,576.7
1968-12-01,pce,576.5
1969-01-01,pce,583.5
1969-02-01,pce,588.7
1969-03-01,pce,588.9
1969-04-01,pce,593.9
1969-05-01,pce,600.3
1969-06-01,pce,600.9
1969-07-01,pce,602.7
1969-08-01,pce,609.9
1969-09-01,pce,613.2
1969-10-01,pce,618.5
1969-11-01,pce,620.5
1969-12-01,pce,622.8
1970-01-01,pce,628.7
1970-02-01,pce,634
1970-03-01,pce,632.3
1970-04-01,pce,636
1970-05-01,pce,642.4
1970-06-01,pce,646.3
1970-07-01,pce,648.5
1970-08-01,pce,652.9
1970-09-01,pce,659.1
1970-10-01,pce,658.3
1970-11-01,pce,656.6
1970-12-01,pce,665.6
1971-01-01,pce,676.1
1971-02-01,pce,679.4
1971-03-01,pce,682
1971-04-01,pce,688.8
1971-05-01,pce,691.1
1971-06-01,pce,699.8
1971-07-01,pce,698.9
1971-08-01,pce,704.9
1971-09-01,pce,713
1971-10-01,pce,715.8
1971-11-01,pce,720.9
1971-12-01,pce,728.4
1972-01-01,pce,731.5
1972-02-01,pce,736.2
1972-03-01,pce,749.2
1972-04-01,pce,752.5
1972-05-01,pce,758
1972-06-01,pce,761.6
1972-07-01,pce,769.9
1972-08-01,pce,776.3
1972-09-01,pce,781.1
1972-10-01,pce,794.9
1972-11-01,pce,800.5
1972-12-01,pce,806.1
1973-01-01,pce,816.5
1973-02-01,pce,825.8
1973-03-01,pce,832.8
1973-04-01,pce,835.7
1973-05-01,pce,841.6
1973-06-01,pce,844.3
1973-07-01,pce,854.1
1973-08-01,pce,853.3
1973-09-01,pce,869.2
1973-10-01,pce,868.2
1973-11-01,pce,876.9
1973-12-01,pce,876.6
1974-01-01,pce,884.5
1974-02-01,pce,889.7
1974-03-01,pce,901.4
1974-04-01,pce,910.8
1974-05-01,pce,922.4
1974-06-01,pce,928
1974-07-01,pce,937.9
1974-08-01,pce,954.8
1974-09-01,pce,955.1
1974-10-01,pce,959.2
1974-11-01,pce,956.2
1974-12-01,pce,961.8
1975-01-01,pce,975.6
1975-02-01,pce,989.4
1975-03-01,pce,990.6
1975-04-01,pce,995
1975-05-01,pce,1018.9
1975-06-01,pce,1026.8
1975-07-01,pce,1039.8
1975-08-01,pce,1047
1975-09-01,pce,1054.8
1975-10-01,pce,1060.9
1975-11-01,pce,1075.8
1975-12-01,pce,1092.1
1976-01-01,pce,1107.1
1976-02-01,pce,1107.7
1976-03-01,pce,1114.9
1976-04-01,pce,1125.4
1976-05-01,pce,1122.7
1976-06-01,pce,1140.5
1976-07-01,pce,1149.6
1976-08-01,pce,1158
1976-09-01,pce,1168.8
1976-10-01,pce,1176.8
1976-11-01,pce,1189
1976-12-01,pce,1211.5
1977-01-01,pce,1215
1977-02-01,pce,1231.3
1977-03-01,pce,1238.3
1977-04-01,pce,1247.3
1977-05-01,pce,1257.1
1977-06-01,pce,1263.6
1977-07-01,pce,1280.5
1977-08-01,pce,1285.7
1977-09-01,pce,1294.5
1977-10-01,pce,1311.4
1977-11-01,pce,1327
1977-12-01,pce,1336
1978-01-01,pce,1329.5
1978-02-01,pce,1355.1
1978-03-01,pce,1377.5
1978-04-01,pce,1396.4
1978-05-01,pce,1412
1978-06-01,pce,1425.8
1978-07-01,pce,1426.8
1978-08-01,pce,1447
1978-09-01,pce,1452.9
1978-10-01,pce,1466.9
1978-11-01,pce,1480.6
1978-12-01,pce,1496.5
1979-01-01,pce,1502.4
1979-02-01,pce,1517.8
1979-03-01,pce,1531.2
1979-04-01,pce,1538.4
1979-05-01,pce,1558.8
1979-06-01,pce,1575.7
1979-07-01,pce,1586.1
1979-08-01,pce,1615.6
1979-09-01,pce,1633.9
1979-10-01,pce,1641.6
1979-11-01,pce,1657.3
1979-12-01,pce,1666.3
1980-01-01,pce,1697.3
1980-02-01,pce,1701.4
1980-03-01,pce,1708.2
1980-04-01,pce,1695.2
1980-05-01,pce,1700.1
1980-06-01,pce,1718.8
1980-07-01,pce,1747.1
1980-08-01,pce,1763.8
1980-09-01,pce,1780.5
1980-10-01,pce,1817.1
1980-11-01,pce,1826.8
1980-12-01,pce,1851.7
1981-01-01,pce,1870
1981-02-01,pce,1884.2
1981-03-01,pce,1902.9
1981-04-01,pce,1904.4
1981-05-01,pce,1913.8
1981-06-01,pce,1934.5
1981-07-01,pce,1942.1
1981-08-01,pce,1966.6
1981-09-01,pce,1965.5
1981-10-01,pce,1963.9
1981-11-01,pce,1970.6
1981-12-01,pce,1988.8
1982-01-01,pce,1997.1
1982-02-01,pce,2021.2
1982-03-01,pce,2024.1
1982-04-01,pce,2026.3
1982-05-01,pce,2044.5
1982-06-01,pce,2048.1
1982-07-01,pce,2072.2
1982-08-01,pce,2080.1
1982-09-01,pce,2104.6
1982-10-01,pce,2125.8
1982-11-01,pce,2149.3
1982-12-01,pce,2161.6
1983-01-01,pce,2174
1983-02-01,pce,2177
1983-03-01,pce,2202.8
1983-04-01,pce,2226.4
1983-05-01,pce,2245.9
1983-06-01,pce,2276
1983-07-01,pce,2304.4
1983-08-01,pce,2320.4
1983-09-01,pce,2334.9
1983-10-01,pce,2357.6
1983-11-01,pce,2366.3
1983-12-01,pce,2393.6
1984-01-01,pce,2419.4
1984-02-01,pce,2403.5
1984-03-01,pce,2431.6
1984-04-01,pce,2457.5
1984-05-01,pce,2474.5
1984-06-01,pce,2495.6
1984-07-01,pce,2494.6
1984-08-01,pce,2512.2
1984-09-01,pce,2533.8
1984-10-01,pce,2531.3
1984-11-01,pce,2571.4
1984-12-01,pce,2582.6
1985-01-01,pce,2618.8
1985-02-01,pce,2640.8
1985-03-01,pce,2648.5
1985-04-01,pce,2659.5
1985-05-01,pce,2696.4
1985-06-01,pce,2689.4
1985-07-01,pce,2715.7
1985-08-01,pce,2752.1
1985-09-01,pce,2794.7
1985-10-01,pce,2755.8
1985-11-01,pce,2771.1
1985-12-01,pce,2811.3
1986-01-01,pce,2827.1
1986-02-01,pce,2820.2
1986-03-01,pce,2823.6
1986-04-01,pce,2835.2
1986-05-01,pce,2857.5
1986-06-01,pce,2861.7
1986-07-01,pce,2881.2
1986-08-01,pce,2898.6
1986-09-01,pce,2971.8
1986-10-01,pce,2932.9
1986-11-01,pce,2928.4
1986-12-01,pce,2997.1
1987-01-01,pce,2935.5
1987-02-01,pce,3001.7
1987-03-01,pce,3013.3
1987-04-01,pce,3038.8
1987-05-01,pce,3048.4
1987-06-01,pce,3072.8
1987-07-01,pce,3094.7
1987-08-01,pce,3130.8
1987-09-01,pce,3126.5
1987-10-01,pce,3134.5
1987-11-01,pce,3144.2
1987-12-01,pce,3174.1
1988-01-01,pce,3213.7
1988-02-01,pce,3221.4
1988-03-01,pce,3260.5
1988-04-01,pce,3263
1988-05-01,pce,3293.6
1988-06-01,pce,3318.5
1988-07-01,pce,3342.7
1988-08-01,pce,3368
1988-09-01,pce,3375
1988-10-01,pce,3413.7
1988-11-01,pce,3430.2
1988-12-01,pce,3459.7
1989-01-01,pce,3483.7
1989-02-01,pce,3488
1989-03-01,pce,3498.8
1989-04-01,pce,3543
1989-05-01,pce,3551.8
1989-06-01,pce,3566.6
1989-07-01,pce,3585.7
1989-08-01,pce,3620.6
1989-09-01,pce,3621.9
1989-10-01,pce,3633.6
1989-11-01,pce,3643.3
1989-12-01,pce,3684.2
1990-01-01,pce,3730.7
1990-02-01,pce,3728.2
1990-03-01,pce,3754.9
1990-04-01,pce,3770
1990-05-01,pce,3775.8
1990-06-01,pce,3804.5
1990-07-01,pce,3821.7
1990-08-01,pce,3848.3
1990-09-01,pce,3870.1
1990-10-01,pce,3870.6
1990-11-01,pce,3871.9
1990-12-01,pce,3861.3
1991-01-01,pce,3841
1991-02-01,pce,3866.7
1991-03-01,pce,3913
1991-04-01,pce,3907.1
1991-05-01,pce,3933.2
1991-06-01,pce,3940.5
1991-07-01,pce,3966
1991-08-01,pce,3969.1
1991-09-01,pce,3984.7
1991-10-01,pce,3976
1991-11-01,pce,4003.6
1991-12-01,pce,4020.5
1992-01-01,pce,4084.7
1992-02-01,pce,4099.5
1992-03-01,pce,4117
1992-04-01,pce,4131.5
1992-05-01,pce,4158.4
1992-06-01,pce,4177.1
1992-07-01,pce,4204.8
1992-08-01,pce,4220.9
1992-09-01,pce,4255.3
1992-10-01,pce,4284.7
1992-11-01,pce,4300.5
1992-12-01,pce,4336.4
1993-01-01,pce,4340.7
1993-02-01,pce,4355.3
1993-03-01,pce,4352.5
1993-04-01,pce,4393.4
1993-05-01,pce,4422.4
1993-06-01,pce,4440
1993-07-01,pce,4468.9
1993-08-01,pce,4481.1
1993-09-01,pce,4511.5
1993-10-01,pce,4532.8
1993-11-01,pce,4554.1
1993-12-01,pce,4571.1
1994-01-01,pce,4585.1
1994-02-01,pce,4632.6
1994-03-01,pce,4646
1994-04-01,pce,4671.1
1994-05-01,pce,4669.5
1994-06-01,pce,4708.9
1994-07-01,pce,4720.6
1994-08-01,pce,4762.6
1994-09-01,pce,4775
1994-10-01,pce,4812.9
1994-11-01,pce,4825.6
1994-12-01,pce,4841.6
1995-01-01,pce,4851.2
1995-02-01,pce,4850.8
1995-03-01,pce,4885.4
1995-04-01,pce,4890.2
1995-05-01,pce,4933.1
1995-06-01,pce,4977.5
1995-07-01,pce,4970.2
1995-08-01,pce,5005.3
1995-09-01,pce,5020.5
1995-10-01,pce,5013.9
1995-11-01,pce,5055.6
1995-12-01,pce,5097.5
1996-01-01,pce,5085.7
1996-02-01,pce,5132.8
1996-03-01,pce,5173.3
1996-04-01,pce,5208
1996-05-01,pce,5223.8
1996-06-01,pce,5229.8
1996-07-01,pce,5251.9
1996-08-01,pce,5275
1996-09-01,pce,5296.6
1996-10-01,pce,5328.5
1996-11-01,pce,5351.2
1996-12-01,pce,5378.6
1997-01-01,pce,5411.1
1997-02-01,pce,5434
1997-03-01,pce,5454.2
1997-04-01,pce,5459.3
1997-05-01,pce,5460.2
1997-06-01,pce,5494.2
1997-07-01,pce,5548.8
1997-08-01,pce,5587
1997-09-01,pce,5601.7
1997-10-01,pce,5637.7
1997-11-01,pce,5661.1
1997-12-01,pce,5692.1
1998-01-01,pce,5689.9
1998-02-01,pce,5723.8
1998-03-01,pce,5750.3
1998-04-01,pce,5788.1
1998-05-01,pce,5837.9
1998-06-01,pce,5871.7
1998-07-01,pce,5890
1998-08-01,pce,5925
1998-09-01,pce,5965.6
1998-10-01,pce,5998.8
1998-11-01,pce,6015.4
1998-12-01,pce,6070.5
1999-01-01,pce,6072.9
1999-02-01,pce,6101.8
1999-03-01,pce,6132.9
1999-04-01,pce,6196.2
1999-05-01,pce,6225.7
1999-06-01,pce,6254
1999-07-01,pce,6281.5
1999-08-01,pce,6326.5
1999-09-01,pce,6378.8
1999-10-01,pce,6402.1
1999-11-01,pce,6437.9
1999-12-01,pce,6538.7
2000-01-01,pce,6535.3
2000-02-01,pce,6619.7
2000-03-01,pce,6685.8
2000-04-01,pce,6671.1
2000-05-01,pce,6707.6
2000-06-01,pce,6743.9
2000-07-01,pce,6764.1
2000-08-01,pce,6799.1
2000-09-01,pce,6882.9
2000-10-01,pce,6888.2
2000-11-01,pce,6902.4
2000-12-01,pce,6945.7
2001-01-01,pce,6977
2001-02-01,pce,6995.8
2001-03-01,pce,6987.9
2001-04-01,pce,7001.2
2001-05-01,pce,7047.1
2001-06-01,pce,7060.7
2001-07-01,pce,7072.2
2001-08-01,pce,7108.9
2001-09-01,pce,7012.8
2001-10-01,pce,7208.4
2001-11-01,pce,7167.9
2001-12-01,pce,7147.7
2002-01-01,pce,7174.3
2002-02-01,pce,7218.3
2002-03-01,pce,7237.2
2002-04-01,pce,7305.4
2002-05-01,pce,7282.7
2002-06-01,pce,7318.2
2002-07-01,pce,7380.4
2002-08-01,pce,7401.5
2002-09-01,pce,7391
2002-10-01,pce,7430.7
2002-11-01,pce,7459.7
2002-12-01,pce,7512.8
2003-01-01,pce,7533.1
2003-02-01,pce,7535.9
2003-03-01,pce,7598.4
2003-04-01,pce,7621
2003-05-01,pce,7628.1
2003-06-01,pce,7678.6
2003-07-01,pce,7738.2
2003-08-01,pce,7834.5
2003-09-01,pce,7835
2003-10-01,pce,7845.7
2003-11-01,pce,7899.6
2003-12-01,pce,7929.2
2004-01-01,pce,7987.4
2004-02-01,pce,8019.8
2004-03-01,pce,8076
2004-04-01,pce,8088.6
2004-05-01,pce,8163.2
2004-06-01,pce,8147.2
2004-07-01,pce,8218.9
2004-08-01,pce,8253.1
2004-09-01,pce,8321.1
2004-10-01,pce,8374.6
2004-11-01,pce,8420.6
2004-12-01,pce,8481.5
2005-01-01,pce,8470.2
2005-02-01,pce,8529.2
2005-03-01,pce,8569.5
2005-04-01,pce,8645.6
2005-05-01,pce,8643.9
2005-06-01,pce,8724.8
2005-07-01,pce,8829.5
2005-08-01,pce,8832.4
2005-09-01,pce,8885.8
2005-10-01,pce,8926.6
2005-11-01,pce,8938.5
2005-12-01,pce,8969.6
2006-01-01,pce,9059.8
2006-02-01,pce,9090.1
2006-03-01,pce,9122.1
2006-04-01,pce,9174.8
2006-05-01,pce,9215.1
2006-06-01,pce,9240.8
2006-07-01,pce,9322.6
2006-08-01,pce,9321.8
2006-09-01,pce,9354.7
2006-10-01,pce,9373.2
2006-11-01,pce,9380.2
2006-12-01,pce,9469
2007-01-01,pce,9516.3
2007-02-01,pce,9546.8
2007-03-01,pce,9585.1
2007-04-01,pce,9615.7
2007-05-01,pce,9651.3
2007-06-01,pce,9667.3
2007-07-01,pce,9709.6
2007-08-01,pce,9753.9
2007-09-01,pce,9797.9
2007-10-01,pce,9827
2007-11-01,pce,9897.8
2007-12-01,pce,9908.4
2008-01-01,pce,9930
2008-02-01,pce,9913.4
2008-03-01,pce,9959.4
2008-04-01,pce,9996.8
2008-05-01,pce,10053.8
2008-06-01,pce,10107.9
2008-07-01,pce,10104.7
2008-08-01,pce,10094.7
2008-09-01,pce,10043.5
2008-10-01,pce,9960.3
2008-11-01,pce,9820.8
2008-12-01,pce,9730.7
2009-01-01,pce,9783.8
2009-02-01,pce,9766
2009-03-01,pce,9718.5
2009-04-01,pce,9724.8
2009-05-01,pce,9748.9
2009-06-01,pce,9806.9
2009-07-01,pce,9841.7
2009-08-01,pce,9961
2009-09-01,pce,9883.4
2009-10-01,pce,9931.9
2009-11-01,pce,9940.5
2009-12-01,pce,9998.9
2010-01-01,pce,10001.8
2010-02-01,pce,10030.6
2010-03-01,pce,10089.1
2010-04-01,pce,10112.9
2010-05-01,pce,10131
2010-06-01,pce,10151.4
2010-07-01,pce,10184.7
2010-08-01,pce,10228.2
2010-09-01,pce,10249
2010-10-01,pce,10304.7
2010-11-01,pce,10354.7
2010-12-01,pce,10392.1
2011-01-01,pce,10435.5
2011-02-01,pce,10470.1
2011-03-01,pce,10550.5
2011-04-01,pce,10587.6
2011-05-01,pce,10612
2011-06-01,pce,10636.8
2011-07-01,pce,10677.5
2011-08-01,pce,10700.6
2011-09-01,pce,10738.1
2011-10-01,pce,10753.1
2011-11-01,pce,10759.5
2011-12-01,pce,10772.2
2012-01-01,pce,10862.1
2012-02-01,pce,10953.5
2012-03-01,pce,10951.8
2012-04-01,pce,10979.7
2012-05-01,pce,10968.6
2012-06-01,pce,10946.3
2012-07-01,pce,10977.2
2012-08-01,pce,11004.1
2012-09-01,pce,11061.5
2012-10-01,pce,11099.8
2012-11-01,pce,11136.8
2012-12-01,pce,11140.5
2013-01-01,pce,11202.8
2013-02-01,pce,11239.6
2013-03-01,pce,11227.1
2013-04-01,pce,11205.4
2013-05-01,pce,11244.6
2013-06-01,pce,11268.8
2013-07-01,pce,11296.7
2013-08-01,pce,11329.2
2013-09-01,pce,11366.9
2013-10-01,pce,11419.8
2013-11-01,pce,11487.6
2013-12-01,pce,11517.9
2014-01-01,pce,11512.5
2014-02-01,pce,11566.2
2014-03-01,pce,11643
2014-04-01,pce,11702.6
2014-05-01,pce,11748.4
2014-06-01,pce,11817
2014-07-01,pce,11860.5
2014-08-01,pce,11944.3
2014-09-01,pce,11957.4
2014-10-01,pce,12023
2014-11-01,pce,12051.4
2014-12-01,pce,12062
2015-01-01,pce,12046
2015-02-01,pce,12082.4
2015-03-01,pce,12158.3
2015-04-01,pce,12193.8
1967-07-01,pop,198712
1967-08-01,pop,198911
1967-09-01,pop,199113
1967-10-01,pop,199311
1967-11-01,pop,199498
1967-12-01,pop,199657
1968-01-01,pop,199808
1968-02-01,pop,199920
1968-03-01,pop,200056
1968-04-01,pop,200208
1968-05-01,pop,200361
1968-06-01,pop,200536
1968-07-01,pop,200706
1968-08-01,pop,200898
1968-09-01,pop,201095
1968-10-01,pop,201290
1968-11-01,pop,201466
1968-12-01,pop,201621
1969-01-01,pop,201760
1969-02-01,pop,201881
1969-03-01,pop,202023
1969-04-01,pop,202161
1969-05-01,pop,202331
1969-06-01,pop,202507
1969-07-01,pop,202677
1969-08-01,pop,202877
1969-09-01,pop,203090
1969-10-01,pop,203302
1969-11-01,pop,203500
1969-12-01,pop,203675
1970-01-01,pop,203849
1970-02-01,pop,204008
1970-03-01,pop,204156
1970-04-01,pop,204401
1970-05-01,pop,204607
1970-06-01,pop,204830
1970-07-01,pop,205052
1970-08-01,pop,205295
1970-09-01,pop,205540
1970-10-01,pop,205788
1970-11-01,pop,206024
1970-12-01,pop,206238
1971-01-01,pop,206466
1971-02-01,pop,206668
1971-03-01,pop,206855
1971-04-01,pop,207065
1971-05-01,pop,207260
1971-06-01,pop,207462
1971-07-01,pop,207661
1971-08-01,pop,207881
1971-09-01,pop,208114
1971-10-01,pop,208345
1971-11-01,pop,208555
1971-12-01,pop,208740
1972-01-01,pop,208917
1972-02-01,pop,209061
1972-03-01,pop,209212
1972-04-01,pop,209386
1972-05-01,pop,209545
1972-06-01,pop,209725
1972-07-01,pop,209896
1972-08-01,pop,210075
1972-09-01,pop,210278
1972-10-01,pop,210479
1972-11-01,pop,210656
1972-12-01,pop,210821
1973-01-01,pop,210985
1973-02-01,pop,211120
1973-03-01,pop,211254
1973-04-01,pop,211420
1973-05-01,pop,211577
1973-06-01,pop,211746
1973-07-01,pop,211909
1973-08-01,pop,212092
1973-09-01,pop,212289
1973-10-01,pop,212475
1973-11-01,pop,212634
1973-12-01,pop,212785
1974-01-01,pop,212932
1974-02-01,pop,213074
1974-03-01,pop,213211
1974-04-01,pop,213361
1974-05-01,pop,213513
1974-06-01,pop,213686
1974-07-01,pop,213854
1974-08-01,pop,214042
1974-09-01,pop,214246
1974-10-01,pop,214451
1974-11-01,pop,214625
1974-12-01,pop,214782
1975-01-01,pop,214931
1975-02-01,pop,215065
1975-03-01,pop,215198
1975-04-01,pop,215353
1975-05-01,pop,215523
1975-06-01,pop,215768
1975-07-01,pop,215973
1975-08-01,pop,216195
1975-09-01,pop,216393
1975-10-01,pop,216587
1975-11-01,pop,216771
1975-12-01,pop,216931
1976-01-01,pop,217095
1976-02-01,pop,217249
1976-03-01,pop,217381
1976-04-01,pop,217528
1976-05-01,pop,217685
1976-06-01,pop,217861
1976-07-01,pop,218035
1976-08-01,pop,218233
1976-09-01,pop,218440
1976-10-01,pop,218644
1976-11-01,pop,218834
1976-12-01,pop,219006
1977-01-01,pop,219179
1977-02-01,pop,219344
1977-03-01,pop,219504
1977-04-01,pop,219684
1977-05-01,pop,219859
1977-06-01,pop,220046
1977-07-01,pop,220239
1977-08-01,pop,220458
1977-09-01,pop,220688
1977-10-01,pop,220904
1977-11-01,pop,221109
1977-12-01,pop,221303
1978-01-01,pop,221477
1978-02-01,pop,221629
1978-03-01,pop,221792
1978-04-01,pop,221991
1978-05-01,pop,222176
1978-06-01,pop,222379
1978-07-01,pop,222585
1978-08-01,pop,222805
1978-09-01,pop,223053
1978-10-01,pop,223271
1978-11-01,pop,223477
1978-12-01,pop,223670
1979-01-01,pop,223865
1979-02-01,pop,224053
1979-03-01,pop,224235
1979-04-01,pop,224438
1979-05-01,pop,224632
1979-06-01,pop,224843
1979-07-01,pop,225055
1979-08-01,pop,225295
1979-09-01,pop,225547
1979-10-01,pop,225801
1979-11-01,pop,226027
1979-12-01,pop,226243
1980-01-01,pop,226451
1980-02-01,pop,226656
1980-03-01,pop,226849
1980-04-01,pop,227061
1980-05-01,pop,227251
1980-06-01,pop,227522
1980-07-01,pop,227726
1980-08-01,pop,227953
1980-09-01,pop,228186
1980-10-01,pop,228417
1980-11-01,pop,228612
1980-12-01,pop,228779
1981-01-01,pop,228937
1981-02-01,pop,229071
1981-03-01,pop,229224
1981-04-01,pop,229403
1981-05-01,pop,229575
1981-06-01,pop,229761
1981-07-01,pop,229966
1981-08-01,pop,230187
1981-09-01,pop,230412
1981-10-01,pop,230641
1981-11-01,pop,230822
1981-12-01,pop,230989
1982-01-01,pop,231157
1982-02-01,pop,231313
1982-03-01,pop,231470
1982-04-01,pop,231645
1982-05-01,pop,231809
1982-06-01,pop,231992
1982-07-01,pop,232188
1982-08-01,pop,232392
1982-09-01,pop,232599
1982-10-01,pop,232816
1982-11-01,pop,232993
